version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_before,metric_after,run_file
v1,student,artifacts/system_prompt.md + artifacts/tools.yaml,v1+p28d16d78a2d3+tbade7a76d3d5,28d16d78a2d3ce32e8770f7f529dd84b4d60bc411614f8ca8dc534117a128585,bade7a76d3d58a3c50127c3d9a55b9ec706c51c81f6f7c08df49977f3aa03710,Fix clarify/send and lookup/social_search rules,Clearer tool routing and confirmation rules should reduce missing_info, wrong_boundary, and wrong_arg failures,0.65,0.8,runs/v1_B_base_openrouter_20260602T133708820017.json
v2,student,artifacts/system_prompt.md,v2+pf290baabd349+tbade7a76d3d5,f290baabd34927c84bd743bfd0108d8337d9397b8058ee262302a730d4909420,bade7a76d3d58a3c50127c3d9a55b9ec706c51c81f6f7c08df49977f3aa03710,Refine send confirmation and multi-turn Twitter switch rules,More explicit multi-turn and send rules should fix remaining tool routing issues,0.8,0.9,runs/v2_B_base_openrouter_20260602T133947118040.json
v3,student,artifacts/system_prompt.md,v3+p9aff76c2a638+tbade7a76d3d5,9aff76c2a638af5dec36a642bee40ea5f6d42307664b21f11107cbbc7485108e,bade7a76d3d58a3c50127c3d9a55b9ec706c51c81f6f7c08df49977f3aa03710,Sharpen combined web vs Twitter and final-turn tool selection rules,Final prompt tuning should remove the last extra Twitter tool in multi-turn sessions,0.9,1.0,runs/v3_B_base_openrouter_20260602T134227861446.json
